,model,seed,name,MCC
200,knn,0_skf_0,knn_seed_0_skf_0_paras_4_K_11,0.263
201,knn,0_skf_1,knn_seed_0_skf_1_paras_4_K_11,0.177
202,knn,0_skf_2,knn_seed_0_skf_2_paras_4_K_11,0.198
203,knn,0_skf_3,knn_seed_0_skf_3_paras_4_K_11,0.21100000000000002
204,knn,0_skf_4,knn_seed_0_skf_4_paras_4_K_11,0.263
205,knn,1_skf_0,knn_seed_1_skf_0_paras_4_K_11,0.184
206,knn,1_skf_1,knn_seed_1_skf_1_paras_4_K_11,0.177
208,knn,1_skf_3,knn_seed_1_skf_3_paras_4_K_11,0.24
209,knn,1_skf_4,knn_seed_1_skf_4_paras_4_K_11,0.218
210,knn,2_skf_0,knn_seed_2_skf_0_paras_4_K_11,0.254
213,knn,2_skf_3,knn_seed_2_skf_3_paras_4_K_11,0.256
214,knn,2_skf_4,knn_seed_2_skf_4_paras_4_K_11,0.263
215,knn,3_skf_0,knn_seed_3_skf_0_paras_4_K_11,0.27899999999999997
216,knn,3_skf_1,knn_seed_3_skf_1_paras_4_K_11,0.174
217,knn,3_skf_2,knn_seed_3_skf_2_paras_4_K_11,0.226
218,knn,3_skf_3,knn_seed_3_skf_3_paras_4_K_11,0.237
219,knn,3_skf_4,knn_seed_3_skf_4_paras_4_K_11,0.191
220,knn,4_skf_0,knn_seed_4_skf_0_paras_4_K_11,0.16399999999999998
221,knn,4_skf_1,knn_seed_4_skf_1_paras_4_K_11,0.18100000000000002
222,knn,4_skf_2,knn_seed_4_skf_2_paras_4_K_11,0.16
223,knn,4_skf_3,knn_seed_4_skf_3_paras_4_K_11,0.198
224,knn,4_skf_4,knn_seed_4_skf_4_paras_4_K_11,0.204
225,knn,5_skf_0,knn_seed_5_skf_0_paras_4_K_11,0.251
226,knn,5_skf_1,knn_seed_5_skf_1_paras_4_K_11,0.215
227,knn,5_skf_2,knn_seed_5_skf_2_paras_4_K_11,0.19399999999999998
228,knn,5_skf_3,knn_seed_5_skf_3_paras_4_K_11,0.235
230,knn,6_skf_0,knn_seed_6_skf_0_paras_4_K_11,0.27899999999999997
231,knn,6_skf_1,knn_seed_6_skf_1_paras_4_K_11,0.23199999999999998
232,knn,6_skf_2,knn_seed_6_skf_2_paras_4_K_11,0.281
234,knn,6_skf_4,knn_seed_6_skf_4_paras_4_K_11,0.254
236,knn,7_skf_1,knn_seed_7_skf_1_paras_4_K_11,0.21100000000000002
237,knn,7_skf_2,knn_seed_7_skf_2_paras_4_K_11,0.22399999999999998
239,knn,7_skf_4,knn_seed_7_skf_4_paras_4_K_11,0.265
240,knn,8_skf_0,knn_seed_8_skf_0_paras_4_K_11,0.22399999999999998
241,knn,8_skf_1,knn_seed_8_skf_1_paras_4_K_11,0.177
243,knn,8_skf_3,knn_seed_8_skf_3_paras_4_K_11,0.265
244,knn,8_skf_4,knn_seed_8_skf_4_paras_4_K_11,0.184
245,knn,9_skf_0,knn_seed_9_skf_0_paras_4_K_11,0.218
246,knn,9_skf_1,knn_seed_9_skf_1_paras_4_K_11,0.184
247,knn,9_skf_2,knn_seed_9_skf_2_paras_4_K_11,0.207
248,knn,9_skf_3,knn_seed_9_skf_3_paras_4_K_11,0.16699999999999998
251,knn,10_skf_1,knn_seed_10_skf_1_paras_4_K_11,0.24
253,knn,10_skf_3,knn_seed_10_skf_3_paras_4_K_11,0.27899999999999997
254,knn,10_skf_4,knn_seed_10_skf_4_paras_4_K_11,0.207
255,knn,11_skf_0,knn_seed_11_skf_0_paras_4_K_11,0.16399999999999998
257,knn,11_skf_2,knn_seed_11_skf_2_paras_4_K_11,0.184
258,knn,11_skf_3,knn_seed_11_skf_3_paras_4_K_11,0.191
259,knn,11_skf_4,knn_seed_11_skf_4_paras_4_K_11,0.218
260,knn,12_skf_0,knn_seed_12_skf_0_paras_4_K_11,0.185
262,knn,12_skf_2,knn_seed_12_skf_2_paras_4_K_11,0.265
263,knn,12_skf_3,knn_seed_12_skf_3_paras_4_K_11,0.16
265,knn,13_skf_0,knn_seed_13_skf_0_paras_4_K_11,0.28300000000000003
266,knn,13_skf_1,knn_seed_13_skf_1_paras_4_K_11,0.22399999999999998
267,knn,13_skf_2,knn_seed_13_skf_2_paras_4_K_11,0.20600000000000002
268,knn,13_skf_3,knn_seed_13_skf_3_paras_4_K_11,0.19399999999999998
269,knn,13_skf_4,knn_seed_13_skf_4_paras_4_K_11,0.16
270,knn,14_skf_0,knn_seed_14_skf_0_paras_4_K_11,0.24
271,knn,14_skf_1,knn_seed_14_skf_1_paras_4_K_11,0.204
272,knn,14_skf_2,knn_seed_14_skf_2_paras_4_K_11,0.213
273,knn,14_skf_3,knn_seed_14_skf_3_paras_4_K_11,0.185
274,knn,14_skf_4,knn_seed_14_skf_4_paras_4_K_11,0.207
275,knn,15_skf_0,knn_seed_15_skf_0_paras_4_K_11,0.261
276,knn,15_skf_1,knn_seed_15_skf_1_paras_4_K_11,0.177
277,knn,15_skf_2,knn_seed_15_skf_2_paras_4_K_11,0.215
279,knn,15_skf_4,knn_seed_15_skf_4_paras_4_K_11,0.313
280,knn,16_skf_0,knn_seed_16_skf_0_paras_4_K_11,0.204
281,knn,16_skf_1,knn_seed_16_skf_1_paras_4_K_11,0.23399999999999999
