,model,seed,name,MCC
101,knn,0_skf_1,knn_seed_0_skf_1_paras_0_K_3,0.266
102,knn,0_skf_2,knn_seed_0_skf_2_paras_0_K_3,0.172
103,knn,0_skf_3,knn_seed_0_skf_3_paras_0_K_3,0.175
104,knn,0_skf_4,knn_seed_0_skf_4_paras_0_K_3,0.193
105,knn,1_skf_0,knn_seed_1_skf_0_paras_0_K_3,0.168
106,knn,1_skf_1,knn_seed_1_skf_1_paras_0_K_3,0.177
107,knn,1_skf_2,knn_seed_1_skf_2_paras_0_K_3,0.168
108,knn,1_skf_3,knn_seed_1_skf_3_paras_0_K_3,0.26899999999999996
109,knn,1_skf_4,knn_seed_1_skf_4_paras_0_K_3,0.11900000000000001
110,knn,2_skf_0,knn_seed_2_skf_0_paras_0_K_3,0.201
111,knn,2_skf_1,knn_seed_2_skf_1_paras_0_K_3,0.11
112,knn,2_skf_2,knn_seed_2_skf_2_paras_0_K_3,0.18600000000000003
113,knn,2_skf_3,knn_seed_2_skf_3_paras_0_K_3,0.209
114,knn,2_skf_4,knn_seed_2_skf_4_paras_0_K_3,0.11199999999999999
115,knn,3_skf_0,knn_seed_3_skf_0_paras_0_K_3,0.226
117,knn,3_skf_2,knn_seed_3_skf_2_paras_0_K_3,0.145
118,knn,3_skf_3,knn_seed_3_skf_3_paras_0_K_3,0.263
119,knn,3_skf_4,knn_seed_3_skf_4_paras_0_K_3,0.201
120,knn,4_skf_0,knn_seed_4_skf_0_paras_0_K_3,0.21100000000000002
121,knn,4_skf_1,knn_seed_4_skf_1_paras_0_K_3,0.249
122,knn,4_skf_2,knn_seed_4_skf_2_paras_0_K_3,0.205
123,knn,4_skf_3,knn_seed_4_skf_3_paras_0_K_3,0.17300000000000001
124,knn,4_skf_4,knn_seed_4_skf_4_paras_0_K_3,0.166
125,knn,5_skf_0,knn_seed_5_skf_0_paras_0_K_3,0.105
126,knn,5_skf_1,knn_seed_5_skf_1_paras_0_K_3,0.157
127,knn,5_skf_2,knn_seed_5_skf_2_paras_0_K_3,0.168
128,knn,5_skf_3,knn_seed_5_skf_3_paras_0_K_3,0.217
129,knn,5_skf_4,knn_seed_5_skf_4_paras_0_K_3,0.26899999999999996
130,knn,6_skf_0,knn_seed_6_skf_0_paras_0_K_3,0.124
132,knn,6_skf_2,knn_seed_6_skf_2_paras_0_K_3,0.138
133,knn,6_skf_3,knn_seed_6_skf_3_paras_0_K_3,0.18600000000000003
134,knn,6_skf_4,knn_seed_6_skf_4_paras_0_K_3,0.182
135,knn,7_skf_0,knn_seed_7_skf_0_paras_0_K_3,0.18899999999999997
136,knn,7_skf_1,knn_seed_7_skf_1_paras_0_K_3,0.128
138,knn,7_skf_3,knn_seed_7_skf_3_paras_0_K_3,0.161
139,knn,7_skf_4,knn_seed_7_skf_4_paras_0_K_3,0.22899999999999998
140,knn,8_skf_0,knn_seed_8_skf_0_paras_0_K_3,0.14300000000000002
141,knn,8_skf_1,knn_seed_8_skf_1_paras_0_K_3,0.254
142,knn,8_skf_2,knn_seed_8_skf_2_paras_0_K_3,0.185
143,knn,8_skf_3,knn_seed_8_skf_3_paras_0_K_3,0.255
144,knn,8_skf_4,knn_seed_8_skf_4_paras_0_K_3,0.105
145,knn,9_skf_0,knn_seed_9_skf_0_paras_0_K_3,0.145
146,knn,9_skf_1,knn_seed_9_skf_1_paras_0_K_3,0.157
147,knn,9_skf_2,knn_seed_9_skf_2_paras_0_K_3,0.168
148,knn,9_skf_3,knn_seed_9_skf_3_paras_0_K_3,0.161
149,knn,9_skf_4,knn_seed_9_skf_4_paras_0_K_3,0.17
150,knn,10_skf_0,knn_seed_10_skf_0_paras_0_K_3,0.11199999999999999
151,knn,10_skf_1,knn_seed_10_skf_1_paras_0_K_3,0.177
152,knn,10_skf_2,knn_seed_10_skf_2_paras_0_K_3,0.233
153,knn,10_skf_3,knn_seed_10_skf_3_paras_0_K_3,0.185
154,knn,10_skf_4,knn_seed_10_skf_4_paras_0_K_3,0.109
155,knn,11_skf_0,knn_seed_11_skf_0_paras_0_K_3,0.193
157,knn,11_skf_2,knn_seed_11_skf_2_paras_0_K_3,0.18600000000000003
158,knn,11_skf_3,knn_seed_11_skf_3_paras_0_K_3,0.273
159,knn,11_skf_4,knn_seed_11_skf_4_paras_0_K_3,0.218
160,knn,12_skf_0,knn_seed_12_skf_0_paras_0_K_3,0.172
161,knn,12_skf_1,knn_seed_12_skf_1_paras_0_K_3,0.133
162,knn,12_skf_2,knn_seed_12_skf_2_paras_0_K_3,0.23
163,knn,12_skf_3,knn_seed_12_skf_3_paras_0_K_3,0.133
164,knn,12_skf_4,knn_seed_12_skf_4_paras_0_K_3,0.18600000000000003
165,knn,13_skf_0,knn_seed_13_skf_0_paras_0_K_3,0.152
166,knn,13_skf_1,knn_seed_13_skf_1_paras_0_K_3,0.22899999999999998
167,knn,13_skf_2,knn_seed_13_skf_2_paras_0_K_3,0.201
168,knn,13_skf_3,knn_seed_13_skf_3_paras_0_K_3,0.16399999999999998
169,knn,13_skf_4,knn_seed_13_skf_4_paras_0_K_3,0.16399999999999998
170,knn,14_skf_0,knn_seed_14_skf_0_paras_0_K_3,0.24100000000000002
171,knn,14_skf_1,knn_seed_14_skf_1_paras_0_K_3,0.207
172,knn,14_skf_2,knn_seed_14_skf_2_paras_0_K_3,0.17600000000000002
173,knn,14_skf_3,knn_seed_14_skf_3_paras_0_K_3,0.14
174,knn,14_skf_4,knn_seed_14_skf_4_paras_0_K_3,0.201
175,knn,15_skf_0,knn_seed_15_skf_0_paras_0_K_3,0.16399999999999998
176,knn,15_skf_1,knn_seed_15_skf_1_paras_0_K_3,0.213
177,knn,15_skf_2,knn_seed_15_skf_2_paras_0_K_3,0.17300000000000001
178,knn,15_skf_3,knn_seed_15_skf_3_paras_0_K_3,0.166
179,knn,15_skf_4,knn_seed_15_skf_4_paras_0_K_3,0.126
181,knn,16_skf_1,knn_seed_16_skf_1_paras_0_K_3,0.161
182,knn,16_skf_2,knn_seed_16_skf_2_paras_0_K_3,0.138
183,knn,16_skf_3,knn_seed_16_skf_3_paras_0_K_3,0.226
184,knn,16_skf_4,knn_seed_16_skf_4_paras_0_K_3,0.217
