,feature
320,D710
288,D209
306,D555
289,D728
324,D565
305,D016
273,D164
283,D361
330,D383
334,D033
318,D358
291,D645
292,D217
300,D671
293,D384
299,D491
314,D496
0,D142
263,D722
42,D053
122,D470
115,D462
113,D493
101,D479
96,D152
94,D338
85,D388
71,D694
63,D641
59,D500
54,D379
49,D628
41,D556
135,D297
39,D648
36,D637
25,D477
21,D193
20,D173
19,D393
17,D135
16,D727
15,D588
14,D195
11,D720
4,D249
134,D268
129,D620
144,D460
188,D339
253,D013
241,D035
240,D283
239,D375
232,D717
226,D359
224,D691
223,D703
215,D269
208,D175
198,D695
197,D279
175,D034
146,D629
163,D625
164,D713
1,D025
182,D372
184,D282
262,D711
250,D549
151,D027
157,D299
284,D376
26,D483
31,D457
219,D377
313,D646
178,D223
69,D123
319,D362
169,D051
131,D211
200,D378
221,D504
220,D487
256,D506
139,D686
138,D210
137,D769
203,D709
207,D294
259,D218
132,D734
261,D389
216,D725
210,D521
254,D553
252,D381
179,D490
147,D622
237,D374
176,D401
231,D751
230,D600
128,D463
172,D482
171,D454
336,D130
167,D197
229,D718
242,D726
199,D589
189,D590
244,D551
160,D265
158,D468
156,D469
246,D396
222,D329
247,D495
235,D719
153,D413
152,D300
249,D366
190,D397
127,D552
281,D278
125,D263
72,D774
68,D746
126,D595
65,D371
64,D478
62,D311
312,D624
52,D465
51,D770
48,D524
46,D370
316,D261
317,D368
323,D273
34,D494
33,D741
32,D723
325,D765
28,D544
326,D476
22,D394
331,D148
13,D206
332,D399
9,D499
6,D421
5,D334
3,D730
2,D599
74,D714
75,D550
66,D486
100,D336
97,D332
98,D392
99,D369
295,D509
102,D558
285,D208
286,D144
279,D247
278,D501
112,D604
271,D630
270,D755
267,D274
264,D761
108,D451
287,D461
214,D101
81,D665
83,D548
294,D775
91,D690
90,D298
84,D004
272,D597
333,D448
245,D340
309,D199
258,D326
217,D601
298,D738
266,D253
265,D333
243,D150
335,D762
218,D138
302,D693
276,D492
311,D007
255,D658
227,D449
228,D736
303,D561
290,D574
322,D485
238,D716
315,D194
251,D467
233,D380
304,D721
327,D758
296,D453
337,D771
212,D715
150,D367
95,D503
55,D523
56,D337
142,D745
141,D773
136,D250
133,D621
60,D568
124,D732
67,D579
121,D757
120,D447
50,D464
119,D508
70,D560
117,D455
116,D602
114,D557
76,D731
213,D527
107,D452
80,D554
106,D529
86,D522
87,D760
104,D563
103,D497
118,D674
45,D537
149,D756
161,D005
7,D207
8,D411
206,D456
10,D752
12,D230
202,D564
196,D764
23,D277
27,D473
192,D459
191,D580
159,D526
186,D581
29,D606
30,D729
187,D772
173,D567
35,D572
180,D251
37,D481
162,D678
38,D484
170,D543
40,D735
181,D335
47,D644
44,D248
43,D743
53,D598
18,D502
78,D531
61,D749
77,D569
73,D559
329,D627
24,D777
301,D566
310,D536
307,D507
297,D573
88,D325
275,D692
168,D252
166,D458
165,D623
155,D759
154,D562
183,D733
185,D753
140,D450
193,D724
225,D672
257,D418
260,D505
174,D309
123,D744
130,D754
269,D742
211,D489
209,D525
204,D675
268,D768
201,D475
280,D607
277,D661
110,D466
194,D657
111,D740
195,D763
177,D653
234,D003
236,D530
205,D662
328,D748
89,D676
248,D545
145,D596
57,D488
308,D015
274,D750
109,D474
282,D528
321,D739
148,D575
92,D619
143,D498
58,D737
79,D680
82,D776
105,D510
93,D626
