,seed,knn_MCC,lr_MCC,svm_MCC,rf_MCC,xgboost_MCC,value
0,0_skf_0,0.18899999999999997,0.309,0.263,0.19399999999999998,0.114,0.88
1,0_skf_1,0.233,0.257,0.223,0.235,0.235,0.95
2,0_skf_2,0.13,0.292,0.27399999999999997,0.22399999999999998,0.38799999999999996,1.178
3,0_skf_3,0.21899999999999997,0.311,0.258,0.254,0.27,1.093
4,0_skf_4,0.22899999999999998,0.29600000000000004,0.33399999999999996,0.16399999999999998,0.23399999999999999,1.028
5,1_skf_0,0.217,0.34700000000000003,0.29100000000000004,0.273,0.247,1.1580000000000001
6,1_skf_1,0.154,0.258,0.239,0.215,0.198,0.9099999999999999
7,1_skf_2,0.159,0.221,0.244,0.122,0.168,0.755
8,1_skf_3,0.182,0.376,0.258,0.23,0.218,1.082
9,1_skf_4,0.225,0.358,0.292,0.237,0.22399999999999998,1.1109999999999998
10,2_skf_0,0.159,0.36,0.27399999999999997,0.18899999999999997,0.198,1.021
11,2_skf_1,0.16399999999999998,0.34700000000000003,0.275,0.122,0.122,0.8660000000000001
12,2_skf_2,0.242,0.39399999999999996,0.278,0.251,0.331,1.254
13,2_skf_3,0.218,0.275,0.223,0.24,0.243,0.981
14,2_skf_4,0.16899999999999998,0.327,0.276,0.218,0.21100000000000002,1.032
15,3_skf_0,0.213,0.363,0.26,0.207,0.297,1.127
16,3_skf_1,0.177,0.342,0.239,0.23,0.243,1.0539999999999998
17,3_skf_2,0.185,0.258,0.257,0.172,0.193,0.8800000000000001
18,3_skf_3,0.205,0.27399999999999997,0.257,0.147,0.151,0.829
19,3_skf_4,0.126,0.308,0.297,0.247,0.16399999999999998,1.016
20,4_skf_0,0.087,0.35,0.342,0.18100000000000002,0.259,1.1320000000000001
21,4_skf_1,0.254,0.299,0.29100000000000004,0.31,0.297,1.197
22,4_skf_2,0.141,0.311,0.324,0.14300000000000002,0.214,0.992
23,4_skf_3,0.141,0.33,0.27399999999999997,0.278,0.28600000000000003,1.1680000000000001
24,4_skf_4,0.205,0.261,0.168,0.18100000000000002,0.16399999999999998,0.774
25,5_skf_0,0.128,0.358,0.17800000000000002,0.23399999999999999,0.282,1.052
26,5_skf_1,0.313,0.311,0.24100000000000002,0.254,0.267,1.073
27,5_skf_2,0.218,0.313,0.257,0.235,0.315,1.12
28,5_skf_3,0.207,0.324,0.263,0.214,0.19399999999999998,0.9949999999999999
29,5_skf_4,0.154,0.355,0.188,0.185,0.156,0.884
30,6_skf_0,0.301,0.36700000000000005,0.326,0.19399999999999998,0.237,1.124
31,6_skf_1,0.07,0.278,0.239,0.21100000000000002,0.23399999999999999,0.962
32,6_skf_2,0.237,0.327,0.257,0.289,0.247,1.12
33,6_skf_3,0.242,0.193,0.221,0.201,0.14300000000000002,0.758
34,6_skf_4,0.153,0.313,0.195,0.207,0.273,0.988
35,7_skf_0,0.141,0.358,0.243,0.14,0.209,0.95
36,7_skf_1,0.18899999999999997,0.327,0.244,0.256,0.218,1.045
37,7_skf_2,0.131,0.33,0.243,0.14300000000000002,0.243,0.959
38,7_skf_3,0.191,0.327,0.33,0.177,0.23,1.064
39,7_skf_4,0.251,0.278,0.203,0.204,0.313,0.998
40,8_skf_0,0.14300000000000002,0.355,0.33899999999999997,0.263,0.21100000000000002,1.168
41,8_skf_1,0.235,0.309,0.275,0.235,0.267,1.086
42,8_skf_2,0.12,0.344,0.215,0.177,0.214,0.95
43,8_skf_3,0.205,0.226,0.16,0.218,0.263,0.867
44,8_skf_4,0.12,0.39799999999999996,0.327,0.198,0.24,1.163
45,9_skf_0,0.261,0.34700000000000003,0.326,0.204,0.22699999999999998,1.104
46,9_skf_1,0.14800000000000002,0.221,0.20199999999999999,0.156,0.16,0.739
47,9_skf_2,0.087,0.221,0.20800000000000002,0.214,0.243,0.886
48,9_skf_3,0.131,0.39799999999999996,0.307,0.22399999999999998,0.315,1.244
49,9_skf_4,0.126,0.292,0.257,0.11699999999999999,0.107,0.7729999999999999
50,10_skf_0,0.18,0.344,0.299,0.174,0.22399999999999998,1.041
51,10_skf_1,0.135,0.21,0.198,0.17300000000000001,0.221,0.802
52,10_skf_2,0.205,0.327,0.22399999999999998,0.135,0.14300000000000002,0.829
53,10_skf_3,0.11900000000000001,0.413,0.311,0.293,0.235,1.2519999999999998
54,10_skf_4,0.18,0.294,0.239,0.187,0.172,0.8919999999999999
55,11_skf_0,0.214,0.363,0.29100000000000004,0.254,0.23,1.1380000000000001
56,11_skf_1,0.126,0.294,0.257,0.152,0.193,0.8959999999999999
57,11_skf_2,0.126,0.39399999999999996,0.267,0.187,0.247,1.0950000000000002
58,11_skf_3,0.33299999999999996,0.27399999999999997,0.207,0.16,0.214,0.855
59,11_skf_4,0.138,0.29100000000000004,0.20600000000000002,0.237,0.28600000000000003,1.02
60,12_skf_0,0.23,0.29100000000000004,0.27399999999999997,0.22699999999999998,0.207,0.9989999999999999
61,12_skf_1,0.182,0.29600000000000004,0.313,0.191,0.18100000000000002,0.9810000000000001
62,12_skf_2,0.185,0.382,0.292,0.342,0.263,1.279
63,12_skf_3,0.133,0.309,0.16,0.14300000000000002,0.213,0.825
64,12_skf_4,0.17,0.24,0.22699999999999998,0.237,0.145,0.849
65,13_skf_0,0.141,0.363,0.193,0.19399999999999998,0.218,0.968
66,13_skf_1,0.193,0.257,0.257,0.207,0.27,0.991
67,13_skf_2,0.249,0.294,0.239,0.267,0.263,1.063
68,13_skf_3,0.225,0.313,0.29600000000000004,0.18100000000000002,0.157,0.9470000000000001
69,13_skf_4,0.242,0.327,0.278,0.237,0.22699999999999998,1.069
70,14_skf_0,0.23,0.34700000000000003,0.29100000000000004,0.114,0.23,0.9820000000000001
71,14_skf_1,0.235,0.382,0.294,0.18899999999999997,0.152,1.017
72,14_skf_2,0.166,0.33,0.20600000000000002,0.28300000000000003,0.254,1.073
73,14_skf_3,0.203,0.29100000000000004,0.195,0.201,0.185,0.8720000000000001
74,14_skf_4,0.121,0.239,0.258,0.174,0.198,0.869
75,15_skf_0,0.154,0.278,0.221,0.24,0.126,0.865
76,15_skf_1,0.293,0.33399999999999996,0.257,0.22399999999999998,0.139,0.954
77,15_skf_2,0.193,0.309,0.307,0.221,0.331,1.168
78,15_skf_3,0.038,0.358,0.244,0.172,0.157,0.931
79,15_skf_4,0.196,0.363,0.292,0.21100000000000002,0.289,1.155
80,16_skf_0,0.077,0.308,0.16,0.201,0.18899999999999997,0.858
81,16_skf_1,0.152,0.307,0.24100000000000002,0.221,0.221,0.99
82,16_skf_2,0.08800000000000001,0.326,0.235,0.14800000000000002,0.193,0.9019999999999999
83,16_skf_3,0.305,0.313,0.27399999999999997,0.265,0.297,1.149
84,16_skf_4,0.128,0.24,0.21,0.198,0.281,0.9289999999999999
85,17_skf_0,0.247,0.299,0.313,0.218,0.249,1.079
86,17_skf_1,0.198,0.33399999999999996,0.37799999999999995,0.237,0.299,1.248
87,17_skf_2,0.157,0.327,0.307,0.139,0.218,0.991
88,17_skf_3,0.28800000000000003,0.27399999999999997,0.193,0.16399999999999998,0.273,0.904
89,17_skf_4,0.21899999999999997,0.36700000000000005,0.258,0.121,0.18100000000000002,0.927
90,18_skf_0,0.136,0.27399999999999997,0.16,0.151,0.18899999999999997,0.7739999999999999
91,18_skf_1,0.14300000000000002,0.33399999999999996,0.299,0.23199999999999998,0.204,1.069
92,18_skf_2,0.161,0.313,0.344,0.218,0.247,1.1219999999999999
93,18_skf_3,0.24600000000000002,0.294,0.326,0.267,0.273,1.1600000000000001
94,18_skf_4,0.237,0.257,0.257,0.168,0.214,0.896
95,19_skf_0,0.201,0.327,0.36,0.23199999999999998,0.243,1.162
96,19_skf_1,0.205,0.278,0.242,0.251,0.267,1.038
97,19_skf_2,0.17,0.29100000000000004,0.243,0.25,0.22899999999999998,1.013
98,19_skf_3,0.237,0.363,0.29100000000000004,0.24,0.237,1.131
99,19_skf_4,0.09300000000000001,0.33,0.27399999999999997,0.218,0.256,1.0779999999999998
