,CompoundName,DILI_label,final_year,D003,D004,D005,D007,D013,D015,D016,D025,D027,D033,D034,D035,D051,D053,D101,D123,D130,D135,D138,D142,D144,D148,D150,D152,D164,D173,D175,D193,D194,D195,D197,D199,D206,D207,D208,D209,D210,D211,D217,D218,D223,D230,D247,D248,D249,D250,D251,D252,D253,D261,D263,D265,D268,D269,D273,D274,D277,D278,D279,D282,D283,D294,D297,D298,D299,D300,D309,D311,D325,D326,D329,D332,D333,D334,D335,D336,D337,D338,D339,D340,D358,D359,D361,D362,D366,D367,D368,D369,D370,D371,D372,D374,D375,D376,D377,D378,D379,D380,D381,D383,D384,D388,D389,D392,D393,D394,D396,D397,D399,D401,D411,D413,D418,D421,D447,D448,D449,D450,D451,D452,D453,D454,D455,D456,D457,D458,D459,D460,D461,D462,D463,D464,D465,D466,D467,D468,D469,D470,D473,D474,D475,D476,D477,D478,D479,D481,D482,D483,D484,D485,D486,D487,D488,D489,D490,D491,D492,D493,D494,D495,D496,D497,D498,D499,D500,D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D521,D522,D523,D524,D525,D526,D527,D528,D529,D530,D531,D536,D537,D543,D544,D545,D548,D549,D550,D551,D552,D553,D554,D555,D556,D557,D558,D559,D560,D561,D562,D563,D564,D565,D566,D567,D568,D569,D572,D573,D574,D575,D579,D580,D581,D588,D589,D590,D595,D596,D597,D598,D599,D600,D601,D602,D604,D606,D607,D619,D620,D621,D622,D623,D624,D625,D626,D627,D628,D629,D630,D637,D641,D644,D645,D646,D648,D653,D657,D658,D661,D662,D665,D671,D672,D674,D675,D676,D678,D680,D686,D690,D691,D692,D693,D694,D695,D703,D709,D710,D711,D713,D714,D715,D716,D717,D718,D719,D720,D721,D722,D723,D724,D725,D726,D727,D728,D729,D730,D731,D732,D733,D734,D735,D736,D737,D738,D739,D740,D741,D742,D743,D744,D745,D746,D748,D749,D750,D751,D752,D753,D754,D755,D756,D757,D758,D759,D760,D761,D762,D763,D764,D765,D768,D769,D770,D771,D772,D773,D774,D775,D776,D777
0,ATRACURIUM,0,1983.0,0,0,6,0,8,0.5,2,2,0,0,0,0,0,0,0,6.685,0,0.0,2.011,0.221,0.636,0.988,1.242,0.6759999999999999,18568700.0,13.532,253647,0.7759999999999999,1.899,6.188,548.137,2.154,0.7190000000000001,0.449,0.258,0.17800000000000002,0.12,0.078,3.8,0.616,0.032,0.96,0.574,0.319,0.14,0.062,1.0,7,0.634,1.892,4.447,125.109,0.237,1.415,0.194,2.281,4.838,0.312,4.235,2.884,0.58,5.169,1.95,0.708,2.521,10.694,3.276,-14.319,0.0,0.0,0.0,0.0,0.0,1980.0,0.0,0.0,0.0,1188.0,0.0,0.0,323.875,2278,2.536,39.451,14,268,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.597,156.563,0.627,0.667,0.518,0.513,0.58,0.642,0.532,0.411,0.3,0.343,0.532,0.403,0.5429999999999999,0.555,0.508,0.621,0.447,0.5760000000000001,0.7340000000000001,0.643,0.715,0.7020000000000001,0.637,0.6859999999999999,0.915,0.925,0.937,0.935,0.941,0.992,0.068,0.071,0.076,0.061,0.061,0.08800000000000001,0.095,0.639,0.514,0.477,0.763,0.703,0.5539999999999999,0.618,0.614,0.785,0.8029999999999999,0.778,1.222,1.024,0.769,0.841,0.765,1.11,1.008,1.119,1.133,0.946,0.8340000000000001,1.034,1.099,0.235,0.138,0.07400000000000001,0.09,0.045,0.033,0.029,0.017,0.014,0.011,0.685,8.01,8.01,20.883000000000006,20.767,20.767,3.5210000000000004,3.513,3.4930000000000003,3.482,3.482,3.482,3.479,3.479,0.619,0.619,0.619,0.619,0.413,0.411,-0.037000000000000005,-0.038,9.204,9.201,9.148,9.148,9.127,9.127,23.264,23.264,23.145,23.145,22.192,5.356,5.356,4.097,4.097,4.01,3.209,10,11,0,0,4,2,0,14,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,10,6,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,6,8,0,0,0,0,2,0,1,6,0,2,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.426,-0.7879999999999999,0.333,-3.159
1,GALLAMINE TRIETHIODIDE,0,1951.0,0,0,1,0,1,0.833,0,3,0,0,0,0,0,0,0,5.3210000000000015,0,0.0,1.843,0.223,0.578,0.956,1.223,0.5770000000000001,45251.898,4.437,36893,1.249,0.923,2.951,480.811,1.868,0.752,0.481,0.281,0.208,0.147,0.084,1.662,0.7020000000000001,0.03,1.213,0.56,0.38,0.163,0.051,1.0,11,1.58,1.73,3.408,131.221,1.026,1.261,0.19,1.787,4.798,0.27,3.056,3.529,0.461,3.431,3.154,0.518,2.3680000000000003,1.7919999999999998,1.175,-3.162,0.0,0.0,0.0,0.0,0.0,126.954,0.0,0.0,0.0,0.0,0.0,0.0,399.375,1131,3.587,32.986999999999995,28,47,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.827,76.472,0.297,0.409,0.787,0.512,0.38,0.68,0.6759999999999999,0.631,0.526,0.438,0.865,0.7979999999999999,0.247,0.226,0.298,0.511,0.584,0.551,0.935,0.792,0.3670000000000001,0.495,0.514,0.633,0.988,1.031,0.956,0.858,0.925,1.007,0.033,0.039,0.043,0.041,0.061,0.062,0.038,0.49,0.575,0.18,0.4370000000000001,0.825,0.506,0.7040000000000001,0.84,0.517,0.705,0.337,0.465,0.995,0.998,1.122,1.129,2.162,1.814,0.45,1.054,1.907,1.758,1.365,0.966,0.271,0.14,0.08,0.027000000000000003,0.025,0.03,0.023,0.019,0.01,0.01,0.635,7.037000000000001,7.037000000000001,20.713,20.691,20.691,3.486,3.479,3.477,3.015,3.005,3.005,2.766,2.613,0.954,0.954,0.63,0.626,0.621,-0.035,-0.036000000000000004,-0.036000000000000004,9.231,8.881,8.794,8.702,8.652999999999999,8.583,23.095,21.972,21.968000000000004,21.957,21.619,5.343,4.944,4.021,3.04,2.998,2.2230000000000003,9,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.285,-0.8270000000000001,0.16699999999999998,-7.165
2,RIFAPENTINE,0,2009.0,0,2,3,0,16,0.279,8,4,0,0,0,0,0,0,0,6.9060000000000015,0,0.0,1.97,0.159,0.639,0.996,1.248,0.653,44894998528.0,4.221,105324,1.17,3.3360000000000003,7.7360000000000015,550.565,2.448,0.731,0.438,0.29100000000000004,0.194,0.128,0.08199999999999999,3.189,0.598,0.023,0.962,0.6,0.331,0.145,0.069,0.769,18,1.7080000000000002,2.124,3.978,106.401,0.369,1.508,0.21,2.834,4.155,0.394,5.039,1.95,0.701,6.274,0.715,0.873,2.639,11.578,3.5610000000000004,-15.663,0.0,0.0,0.0,0.0,496.0,930.0,0.0,0.0,496.0,558.0,0.0,0.0,773.25,2016,4.96,90.022,24,486,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,167.013,182.865,0.579,0.476,0.441,0.521,0.35200000000000004,0.329,0.353,0.507,0.369,0.396,0.49,0.499,0.43,0.444,0.503,0.385,0.597,0.589,0.616,0.691,0.5720000000000001,0.606,0.621,0.586,0.911,0.901,0.949,0.97,0.966,0.935,0.09,0.101,0.114,0.118,0.097,0.094,0.08800000000000001,0.364,0.453,0.5,0.338,0.5870000000000001,0.5710000000000001,0.6609999999999999,0.6409999999999999,0.58,0.684,0.7,0.674,0.887,0.916,0.927,1.014,1.157,1.271,1.3219999999999998,1.179,1.39,1.446,1.454,1.1740000000000002,0.226,0.165,0.108,0.097,0.071,0.047,0.032,0.027000000000000003,0.024,0.019,0.816,8.015,8.011000000000001,20.821,20.803,20.794,3.52,3.508,3.503,3.503,3.49,3.482,3.475,3.471,0.415,0.413,0.412,0.411,0.087,-0.014,-0.027000000000000003,-0.111,9.447,9.256,9.216,9.033,8.9,8.855,23.57,22.979,22.932,22.79300000000001,22.421,5.684,5.341,4.453,3.912,3.734,3.2030000000000003,9,0,0,0,8,9,1,10,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,8,4,4,0,1,4,0,5,0,0,0,1,0,0,0,4,1,2,2,0,0,0,0,0,2,4,0,0,0,1,2,0,8,3,5,0,0,2,2,4,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.349,1.199,0.162,1.952
3,SENNOSIDE,1,1919.0,0,0,8,0,14,0.304,4,0,0,0,0,0,0,0,0,8.628,0,0.0,2.035,0.142,0.6970000000000001,1.047,1.285,0.759,240575008.0,4.2860000000000005,79964,1.46,3.278,7.662000000000001,540.997,2.952,0.72,0.4270000000000001,0.32299999999999995,0.194,0.122,0.07,2.595,0.512,0.018000000000000002,0.825,0.605,0.337,0.141,0.059,0.9,21,2.017,1.932,3.741,83.891,0.3720000000000001,1.52,0.219,2.8680000000000003,3.775,0.413,4.631,2.013,0.667,5.604,1.04,0.807,2.639,14.22,4.985,-24.423,0.0,0.0,0.0,0.0,0.0,2440.0,0.0,0.0,0.0,2196.0,0.0,0.0,520.125,1953,3.005,44.142,0,0,0,0,0,0,0,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.01,221.342,0.7709999999999999,0.706,0.556,0.569,0.8009999999999999,0.746,0.526,0.203,0.514,0.485,0.502,0.447,0.378,0.306,0.391,0.387,0.8590000000000001,0.7809999999999999,0.72,0.667,0.715,0.738,0.748,0.706,0.809,0.809,0.7340000000000001,0.6940000000000001,0.742,0.784,0.139,0.147,0.146,0.131,0.16,0.191,0.244,0.314,0.344,0.36,0.429,0.332,0.305,0.331,0.378,0.439,0.462,0.5329999999999999,0.5920000000000001,0.575,0.648,0.637,0.7509999999999999,0.597,0.649,0.846,0.892,0.7240000000000001,0.921,1.151,1.483,0.213,0.146,0.115,0.106,0.061,0.048,0.043,0.037000000000000005,0.027000000000000003,0.019,0.816,8.017999999999999,8.014,20.88,20.791,20.776,3.525,3.513,3.506,3.502,3.495,3.489,3.478,3.4730000000000003,0.625,0.624,0.597,0.596,0.415,0.413,0.412,0.411,9.276,9.263,9.18,9.171,9.084,9.068,23.494,23.363000000000003,23.097,23.095,22.395,5.507999999999999,5.43,4.302,4.215,3.953,3.358,0,2,0,0,0,12,0,14,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,0,0,2,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,10,4,0,0,0,0,0,0,2,0,0,0,0,8,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.409,7.387,0.348,-0.4970000000000001
4,RIFABUTIN,1,1992.0,0,2,3,0,27,0.28800000000000003,8,4,0,0,0,0,0,0,0,6.886,0,0.0,1.956,0.153,0.64,0.995,1.247,0.653,8651570176.0,3.364,85980,1.269,3.24,7.685,1582.12,2.426,0.736,0.434,0.28300000000000003,0.188,0.12,0.076,3.292,0.607,0.024,0.959,0.606,0.333,0.145,0.071,0.75,23,2.236,2.14,3.886,104.059,0.408,1.501,0.21,2.82,4.123,0.395,4.857,2.085,0.68,6.273,0.669,0.878,2.6710000000000003,11.542,3.312,-14.95,0.0,0.0,0.0,0.0,480.0,900.0,0.0,0.0,960.0,540.0,0.0,0.0,675.938,1891,4.086,65.793,22,411,0,0,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,166.19,188.515,0.509,0.451,0.404,0.493,0.302,0.386,0.379,0.436,0.29600000000000004,0.412,0.422,0.428,0.418,0.37,0.422,0.457,0.546,0.586,0.557,0.642,0.568,0.5710000000000001,0.5720000000000001,0.639,0.907,0.883,0.927,0.95,0.965,0.951,0.096,0.091,0.105,0.111,0.099,0.092,0.087,0.374,0.422,0.547,0.3670000000000001,0.579,0.579,0.794,0.6659999999999999,0.631,0.63,0.7390000000000001,0.7140000000000001,0.8540000000000001,0.954,1.089,0.99,1.277,1.345,1.425,1.286,1.5319999999999998,1.285,1.293,1.18,0.267,0.163,0.119,0.109,0.075,0.057,0.04,0.029,0.023,0.02,0.901,8.015,8.011000000000001,20.821,20.803,20.792,3.519,3.508,3.503,3.502,3.49,3.482,3.474,3.471,0.415,0.413,0.412,0.411,-0.012,-0.015,-0.027000000000000003,-0.039,9.454,9.283,9.216,9.025,8.935,8.892000000000003,23.545,22.936,22.85,22.792,22.421,5.7120000000000015,5.36,4.4430000000000005,3.854,3.73,3.213,11,1,1,0,4,8,2,10,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,10,2,5,0,1,3,0,4,0,0,0,2,0,0,0,4,1,1,2,0,0,0,0,0,2,4,0,0,0,1,2,0,8,2,5,2,0,2,1,4,3,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,6.313,0.599,0.16699999999999998,2.081
5,ROXITHROMYCIN,1,1987.0,0,0,2,0,3,0.5329999999999999,2,2,0,0,0,0,0,0,0,6.247000000000001,0,0.0,1.851,0.152,0.597,0.992,1.251,0.585,138496000000.0,3.399,69536,1.202,3.217,7.322999999999999,495.471,2.398,0.757,0.449,0.29,0.177,0.118,0.07400000000000001,3.19,0.643,0.025,1.038,0.599,0.349,0.156,0.071,1.0,31,3.131,1.87,3.705,158.931,0.7340000000000001,1.431,0.201,2.389,4.677,0.336,4.812,2.254,0.677,6.316,0.7509999999999999,0.888,2.489,6.223,4.024,-17.233,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,1711,1.258,4.972,10,249,0,0,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.984,216.929,0.569,0.621,0.545,0.653,0.5529999999999999,0.721,0.524,0.617,0.319,0.472,0.494,0.605,0.498,0.561,0.594,0.6759999999999999,0.519,0.617,0.6,0.7,0.601,0.696,0.69,0.738,0.949,0.943,0.94,0.925,0.946,0.978,0.09,0.07400000000000001,0.078,0.073,0.076,0.079,0.076,0.55,0.5379999999999999,0.627,0.594,0.7070000000000001,0.517,0.626,0.5920000000000001,0.74,0.6990000000000001,0.792,0.78,0.875,0.74,0.8109999999999999,0.76,1.244,0.966,1.028,0.938,1.072,0.7440000000000001,1.1740000000000002,0.856,0.298,0.179,0.128,0.095,0.066,0.053,0.049,0.034,0.026,0.022,0.951,8.011000000000001,8.01,20.774,20.764,20.751,3.519,3.502,3.491,3.488,3.482,3.4810000000000003,3.475,3.472,0.617,0.61,0.607,0.595,0.594,0.412,-0.03,-0.042,9.262,9.214,9.2,9.171,8.908,8.861,22.858,22.738000000000003,22.66800000000001,22.575,21.911,5.238,5.1629999999999985,3.5660000000000003,3.459,3.395,2.783,14,4,0,0,3,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,10,4,4,0,4,2,1,9,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,8,3,2,0,5,0,1,8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.954,1.942,0.0,-0.725
6,VINCRISTINE,1,1984.0,0,3,5,0,28,0.279,6,4,0,0,0,0,0,0,0,7.112,0,0.0,2.083,0.128,0.654,0.996,1.246,0.67,3582200.0,3.526,57408,1.579,3.781,8.322000000000001,278.78700000000003,2.315,0.71,0.423,0.254,0.152,0.094,0.06,4.215,0.588,0.022,0.938,0.599,0.339,0.171,0.086,1.0,13,1.28,1.933,3.531,71.423,0.39,1.509,0.213,2.823,4.035,0.398,5.263,1.595,0.743,6.347,0.511,0.8959999999999999,2.798,15.665,3.063,-13.5,0.0,0.0,0.0,0.0,708.0,1475.0,0.0,0.0,2832.0,531.0,0.0,1298.0,453.56300000000016,1830,2.301,26.842,43,290,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,216.761,226.924,0.402,0.501,0.363,0.495,0.302,0.428,0.412,0.386,0.289,0.376,0.327,0.388,0.414,0.399,0.527,0.532,0.519,0.616,0.5539999999999999,0.628,0.5710000000000001,0.599,0.696,0.71,0.8690000000000001,0.882,0.94,0.949,0.959,0.959,0.08,0.078,0.095,0.101,0.096,0.096,0.091,0.499,0.36,0.499,0.445,0.624,0.6779999999999999,0.6709999999999999,0.657,0.745,0.62,0.7709999999999999,0.787,0.883,1.056,1.028,1.032,1.34,1.057,1.306,1.091,1.4280000000000002,1.211,1.137,1.143,0.28800000000000003,0.177,0.161,0.14,0.103,0.07,0.052000000000000005,0.034,0.026,0.018000000000000002,1.069,8.011000000000001,8.006,20.835,20.799,20.792,3.524,3.513,3.513,3.503,3.482,3.4730000000000003,3.471,3.468,0.416,0.413,0.411,0.411,-0.014,-0.023,-0.026,-0.027000000000000003,9.325,9.252,9.172,9.105,8.937000000000003,8.895,23.397,23.266,23.077,22.843000000000004,22.302,5.5070000000000014,5.388,4.2010000000000005,4.089,3.793,3.1460000000000004,6,2,0,0,9,4,5,6,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,14,3,6,1,3,3,5,0,3,0,0,2,0,0,0,0,2,0,1,4,0,0,0,0,6,3,3,0,0,0,0,3,0,4,5,1,0,0,2,0,4,3,4,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,6.322,0.044,0.17600000000000002,2.592
7,RIFAMPIN,1,1971.0,0,1,3,0,15,0.302,8,4,0,0,0,0,0,0,0,7.034,0,0.0,1.932,0.156,0.6409999999999999,1.001,1.252,0.6559999999999999,11475999744.0,3.487,78198,1.262,3.335,7.562,557.6669999999998,2.524,0.74,0.44,0.293,0.197,0.13,0.08199999999999999,2.9410000000000003,0.598,0.023,0.937,0.602,0.342,0.146,0.071,0.75,18,1.795,2.142,3.869,111.271,0.452,1.536,0.217,2.866,4.004,0.405,5.0139999999999985,1.856,0.7090000000000001,6.242000000000001,0.629,0.883,2.639,9.969,3.5610000000000004,-15.663,0.0,0.0,0.0,0.0,232.0,870.0,0.0,0.0,464.0,522.0,0.0,0.0,754.375,1770,4.65,72.843,24,486,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,157.559,177.65099999999995,0.5589999999999999,0.484,0.444,0.499,0.35100000000000003,0.35600000000000004,0.349,0.473,0.28300000000000003,0.379,0.476,0.409,0.395,0.44,0.483,0.378,0.524,0.5760000000000001,0.61,0.623,0.5489999999999999,0.625,0.621,0.59,0.9,0.8859999999999999,0.938,0.958,0.955,0.931,0.098,0.107,0.123,0.123,0.101,0.098,0.093,0.423,0.453,0.503,0.381,0.605,0.5660000000000001,0.685,0.674,0.6509999999999999,0.68,0.6970000000000001,0.731,0.898,0.913,0.952,1.044,1.202,1.219,1.261,1.21,1.33,1.298,1.368,1.151,0.241,0.16899999999999998,0.114,0.103,0.073,0.049,0.035,0.029,0.025,0.02,0.8590000000000001,8.015,8.011000000000001,20.821,20.803,20.794,3.52,3.508,3.503,3.503,3.49,3.482,3.475,3.471,0.415,0.413,0.412,0.411,0.087,-0.014,-0.029,-0.111,9.447,9.256,9.216,9.033,8.9,8.854,23.57,22.979,22.932,22.79300000000001,22.217,5.684,5.341,4.453,3.912,3.734,3.105,10,0,0,0,4,8,1,10,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,8,0,4,0,2,4,0,4,0,0,0,1,0,0,0,4,1,2,2,0,0,0,0,0,2,4,0,0,0,1,2,0,6,1,5,0,0,2,2,4,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.2570000000000014,1.248,0.175,1.371
8,TROLEANDOMYCIN,1,1969.0,0,0,2,0,4,0.433,5,1,0,0,0,0,0,0,0,6.564,0,0.0,1.892,0.151,0.613,0.997,1.254,0.606,5611339776.0,3.725,64543,1.288,2.439,7.391,288.099,2.425,0.7490000000000001,0.443,0.272,0.16899999999999998,0.114,0.075,3.709,0.635,0.027000000000000003,1.016,0.591,0.32,0.158,0.086,0.889,28,2.865,1.893,3.639,127.671,0.609,1.432,0.203,2.167,4.788,0.308,4.456,2.498,0.633,6.07,0.884,0.862,2.545,7.3210000000000015,3.882,-19.688,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,1653,1.142,2.65,0,139,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,161.45,201.078,0.503,0.569,0.5670000000000001,0.638,0.528,0.6729999999999999,0.51,0.601,0.311,0.424,0.447,0.516,0.5429999999999999,0.58,0.585,0.653,0.514,0.5479999999999999,0.574,0.665,0.615,0.715,0.6709999999999999,0.731,0.931,0.928,0.977,0.936,0.954,0.972,0.105,0.067,0.076,0.064,0.064,0.07400000000000001,0.066,0.504,0.6559999999999999,0.6659999999999999,0.621,0.8320000000000001,0.591,0.7070000000000001,0.578,0.6779999999999999,0.758,0.7909999999999999,0.863,0.99,0.809,0.8540000000000001,0.742,1.372,0.778,0.818,0.84,0.944,0.662,1.007,0.772,0.295,0.145,0.108,0.104,0.063,0.05,0.043,0.03,0.024,0.02,0.882,8.021,8.016,20.767,20.761,20.749,3.529,3.513,3.513,3.513,3.503,3.492,3.488,3.482,0.595,0.595,0.415,0.412,0.411,0.411,0.411,-0.03,9.286,9.269,9.265,9.232,9.193,9.108,22.874,22.716,22.56900000000001,22.524,21.92,5.313,5.226,3.668,3.469,3.389,3.0380000000000003,14,0,0,0,4,17,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,3,5,0,3,1,0,10,2,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,5,5,7,2,0,0,0,5,10,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.022,-0.716,0.0,0.911
9,COBICISTAT,0,2012.0,0,2,3,0,5,0.466,7,7,0,0,2,0,0,0,0,7.252999999999999,0,0.0,2.057,0.194,0.653,0.986,1.237,0.6890000000000001,9176.41,7.067,83390,1.029,2.114,7.249,322.157,2.138,0.706,0.452,0.308,0.209,0.133,0.086,3.097,0.613,0.038,1.056,0.569,0.25,0.104,0.053,1.0,8,0.853,1.6969999999999998,4.002,94.189,0.349,1.604,0.231,2.701,4.041,0.388,5.021,1.72,0.722,5.86,0.8809999999999999,0.843,2.334,8.594,3.494,-6.76,0.0,0.0,0.0,0.0,424.0,795.0,0.0,0.0,0.0,0.0,0.0,0.0,172.375,1485,1.5590000000000002,9.364,176,276,139,0,0,0,0,94,113,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,20,99.48,128.903,0.292,0.264,0.232,-0.006999999999999999,0.134,0.009000000000000001,0.102,0.185,0.467,0.629,0.631,0.5870000000000001,0.6759999999999999,0.523,0.593,0.738,0.66,0.764,0.759,0.706,0.748,0.642,0.6809999999999999,0.787,0.7859999999999999,0.6970000000000001,0.778,0.731,0.725,0.722,0.449,0.279,0.21,0.273,0.211,0.203,0.257,0.441,0.413,0.591,0.556,0.408,0.551,0.596,0.429,0.69,0.6679999999999999,0.914,0.853,0.627,0.81,0.805,0.565,1.412,1.524,1.227,1.415,1.419,1.492,1.248,1.207,0.198,0.08,0.05,0.049,0.023,0.027000000000000003,0.018000000000000002,0.013,0.015,0.009000000000000001,0.481,8.021,8.01,20.883000000000006,20.807,20.801,3.517,3.505,3.502,3.48,3.467,3.037,3.027,2.999,0.413,-0.012,-0.015,-0.017,-0.027000000000000003,-0.03,-0.034,-0.035,16.202,16.202,9.249,9.136,8.998,8.89,24.951,24.949,23.132,23.127,22.274,5.21,5.171,4.192,4.167,3.916,3.004,3,8,4,0,4,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,1,0,1,7,0,3,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,10,2,0,0,0,0,0,2,2,2,4,2,0,0,0,0,3,2,1,0,3,2,0,0,0,0,0,2,0,0,2,0,0,0,6.15,-0.737,0.207,3.3360000000000003
