,model,seed,name,MCC
0,knn,0_skf_0,knn_seed_0_skf_0_paras_0_K_7,0.169
1,knn,0_skf_1,knn_seed_0_skf_1_paras_0_K_7,0.191
3,knn,0_skf_3,knn_seed_0_skf_3_paras_0_K_7,0.22
4,knn,0_skf_4,knn_seed_0_skf_4_paras_0_K_7,0.184
5,knn,1_skf_0,knn_seed_1_skf_0_paras_0_K_7,0.183
6,knn,1_skf_1,knn_seed_1_skf_1_paras_0_K_7,0.277
8,knn,1_skf_3,knn_seed_1_skf_3_paras_0_K_7,0.191
9,knn,1_skf_4,knn_seed_1_skf_4_paras_0_K_7,0.232
10,knn,2_skf_0,knn_seed_2_skf_0_paras_0_K_7,0.191
11,knn,2_skf_1,knn_seed_2_skf_1_paras_0_K_7,0.203
13,knn,2_skf_3,knn_seed_2_skf_3_paras_0_K_7,0.198
14,knn,2_skf_4,knn_seed_2_skf_4_paras_0_K_7,0.155
15,knn,3_skf_0,knn_seed_3_skf_0_paras_0_K_7,0.184
16,knn,3_skf_1,knn_seed_3_skf_1_paras_0_K_7,0.219
17,knn,3_skf_2,knn_seed_3_skf_2_paras_0_K_7,0.15
18,knn,3_skf_3,knn_seed_3_skf_3_paras_0_K_7,0.261
19,knn,3_skf_4,knn_seed_3_skf_4_paras_0_K_7,0.252
20,knn,4_skf_0,knn_seed_4_skf_0_paras_0_K_7,0.224
21,knn,4_skf_1,knn_seed_4_skf_1_paras_0_K_7,0.183
22,knn,4_skf_2,knn_seed_4_skf_2_paras_0_K_7,0.231
23,knn,4_skf_3,knn_seed_4_skf_3_paras_0_K_7,0.223
24,knn,4_skf_4,knn_seed_4_skf_4_paras_0_K_7,0.238
25,knn,5_skf_0,knn_seed_5_skf_0_paras_0_K_7,0.237
26,knn,5_skf_1,knn_seed_5_skf_1_paras_0_K_7,0.203
27,knn,5_skf_2,knn_seed_5_skf_2_paras_0_K_7,0.224
28,knn,5_skf_3,knn_seed_5_skf_3_paras_0_K_7,0.175
29,knn,5_skf_4,knn_seed_5_skf_4_paras_0_K_7,0.219
30,knn,6_skf_0,knn_seed_6_skf_0_paras_0_K_7,0.193
31,knn,6_skf_1,knn_seed_6_skf_1_paras_0_K_7,0.208
32,knn,6_skf_2,knn_seed_6_skf_2_paras_0_K_7,0.203
33,knn,6_skf_3,knn_seed_6_skf_3_paras_0_K_7,0.26
34,knn,6_skf_4,knn_seed_6_skf_4_paras_0_K_7,0.207
