,id,CompoundName,DILI_label,Usage,0_skf_0,0_skf_1,0_skf_2,0_skf_3,0_skf_4,1_skf_0,1_skf_1,1_skf_2,1_skf_3,1_skf_4,2_skf_0,2_skf_1,2_skf_2,2_skf_3,2_skf_4,3_skf_0,3_skf_1,3_skf_2,3_skf_3,3_skf_4,4_skf_0,4_skf_1,4_skf_2,4_skf_3,4_skf_4,5_skf_0,5_skf_1,5_skf_2,5_skf_3,5_skf_4,6_skf_0,6_skf_1,6_skf_2,6_skf_3,6_skf_4,7_skf_0,7_skf_1,7_skf_2,7_skf_3,7_skf_4,8_skf_0,8_skf_1,8_skf_2,8_skf_3,8_skf_4,9_skf_0,9_skf_1,9_skf_2,9_skf_3,9_skf_4,10_skf_0,10_skf_1,10_skf_2,10_skf_3,10_skf_4,11_skf_0,11_skf_1,11_skf_2,11_skf_3,11_skf_4,12_skf_0,12_skf_1,12_skf_2,12_skf_3,12_skf_4,13_skf_0,13_skf_1,13_skf_2,13_skf_3,13_skf_4,14_skf_0,14_skf_1,14_skf_2,14_skf_3,14_skf_4,15_skf_0,15_skf_1,15_skf_2,15_skf_3,15_skf_4,16_skf_0,16_skf_1,16_skf_2,16_skf_3,16_skf_4,17_skf_0,17_skf_1,17_skf_2,17_skf_3,17_skf_4,18_skf_0,18_skf_1,18_skf_2,18_skf_3,18_skf_4,19_skf_0,19_skf_1,19_skf_2,19_skf_3,19_skf_4
0,879,GEMCITABINE,1,train,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
1,611,MOMETASONE,0,train,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1
2,514,VINORELBINE,0,train,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
3,38,DEFEROXAMINE,1,train,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
4,954,SORBITOL,0,train,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
5,250,PERAMIVIR,1,train,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
6,233,METHYLERGONOVINE,0,train,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
7,949,TEMOZOLOMIDE,1,train,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1
8,72,TERFENADINE,0,train,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
9,970,ACETYLCYSTEINE,0,train,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1
